epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1924.48,1.15935,0.93712,1.20522,0.70054,0.58803,0.63222,0.37617,1.51884,1.20128,1.37813,0.0003647,0.0003647,0.0003647
43,1966.14,1.14922,0.92954,1.20552,0.68947,0.61592,0.65998,0.38024,1.54072,1.21002,1.38531,0.0003614,0.0003614,0.0003614
44,2007.95,1.13994,0.92211,1.19754,0.66907,0.59303,0.64113,0.36985,1.55691,1.21648,1.39547,0.0003581,0.0003581,0.0003581
45,2049.77,1.14629,0.93549,1.19489,0.71476,0.61099,0.66122,0.392,1.52506,1.15146,1.39067,0.0003548,0.0003548,0.0003548
46,2091.35,1.14316,0.9205,1.19009,0.70333,0.61395,0.66623,0.3853,1.52472,1.16682,1.37213,0.0003515,0.0003515,0.0003515
47,2133.09,1.12638,0.90461,1.17899,0.72455,0.58587,0.64499,0.3826,1.50365,1.19026,1.38412,0.0003482,0.0003482,0.0003482
48,2174.93,1.13038,0.90349,1.18625,0.69938,0.59745,0.64141,0.37743,1.4866,1.17627,1.36276,0.0003449,0.0003449,0.0003449
49,2217.26,1.11809,0.8914,1.17968,0.71616,0.61385,0.65841,0.39465,1.51413,1.16544,1.3696,0.0003416,0.0003416,0.0003416
50,2259.55,1.12204,0.89489,1.17984,0.72192,0.61244,0.66012,0.38544,1.52535,1.15507,1.36784,0.0003383,0.0003383,0.0003383
51,2301.31,1.11448,0.88232,1.16923,0.70341,0.58988,0.64459,0.37745,1.52331,1.1848,1.37713,0.000335,0.000335,0.000335
52,2343.28,1.10976,0.88083,1.17403,0.70776,0.61308,0.65928,0.38971,1.4983,1.15856,1.36104,0.0003317,0.0003317,0.0003317
53,2385.48,1.10816,0.87721,1.17317,0.6854,0.61493,0.65171,0.38197,1.50463,1.17016,1.38051,0.0003284,0.0003284,0.0003284
54,2427.64,1.09838,0.86375,1.16753,0.73798,0.6016,0.66375,0.38417,1.52654,1.14916,1.38446,0.0003251,0.0003251,0.0003251
55,2469.64,1.10921,0.86426,1.17309,0.73238,0.59052,0.65612,0.37875,1.52063,1.16088,1.37503,0.0003218,0.0003218,0.0003218
56,2511.87,1.09928,0.86155,1.1749,0.71461,0.59469,0.6455,0.37969,1.49072,1.16694,1.36782,0.0003185,0.0003185,0.0003185
57,2554.13,1.07963,0.83939,1.15849,0.71546,0.59827,0.64613,0.38368,1.49064,1.18253,1.36523,0.0003152,0.0003152,0.0003152
58,2596.11,1.0966,0.86022,1.164,0.70129,0.63037,0.66845,0.39637,1.48417,1.13448,1.36105,0.0003119,0.0003119,0.0003119
